  30600000    830691    666442        16   1.406563002281E-004   5.925170000000E+000   5.900870000000E+000   6.984230995178E+000   2.721868326196E-001   7.500092125074E-003   2.721868326196E-001   3.389667000000E+000   3.438790082932E+000   1.406563002281E-004   3.964347000000E+000   4.028150081635E+000   1.000000000000E+000
  99999999    830691    666442        16   1.406563007606E-004   4.539189000000E+000   4.519565000000E+000   5.070375919342E+000   2.721868326196E-001   7.500092181861E-003   2.721868326196E-001   2.020366000000E+000   2.055386066437E+000   1.406563007606E-004   2.596503000000E+000   2.644057989120E+000   1.000000000000E+000
  30600000    830691    666442        16   1.406563002281E-004   5.781658000000E+000   5.752754000000E+000   6.863807201385E+000   2.721868326196E-001   7.500092125074E-003   2.721868326196E-001   3.255319000000E+000   3.309961080551E+000   1.406563002281E-004   3.820732000000E+000   3.894440174103E+000   1.000000000000E+000
  99999999    830691    666442        16   1.406563007606E-004   4.547563000000E+000   4.521572000000E+000   5.404207944870E+000   2.721868326196E-001   7.500092181861E-003   2.721868326196E-001   2.007125000000E+000   2.055089950562E+000   1.406563007606E-004   2.576727000000E+000   2.638524055481E+000   1.000000000000E+000
  20600000    830691    666442        16   1.406563002296E-004   7.831854000000E+000   7.811265000000E+000   8.929738044739E+000   2.721868326196E-001   7.500092125237E-003   2.721868326196E-001   5.300647000000E+000   5.347616910934E+000   1.406563002296E-004   5.870129000000E+000   5.934756040573E+000   1.000000000000E+000
  20700000    830691    666442        16   1.406563002295E-004   7.114620000000E+000   7.094845000000E+000   7.741458892822E+000   2.721868326196E-001   7.500092125226E-003   2.721868326196E-001   4.591802000000E+000   4.646434068680E+000   1.406563002295E-004   5.161799000000E+000   5.227661848068E+000   1.000000000000E+000
  30600000    830691    666442        16   1.406563002298E-004   6.047841000000E+000   6.020142000000E+000   6.792122840881E+000   2.721868326196E-001   7.500092125259E-003   2.721868326196E-001   3.536104000000E+000   3.586951971054E+000   1.406563002298E-004   4.103666000000E+000   4.164138078690E+000   1.000000000000E+000
  99999999    830691    666442        16   1.406563007606E-004   4.580960000000E+000   4.557357000000E+000   5.360751152039E+000   2.721868326196E-001   7.500092181861E-003   2.721868326196E-001   2.017385000000E+000   2.052174806595E+000   1.406563007606E-004   2.591031000000E+000   2.635555028915E+000   1.000000000000E+000
  20600000    830691    666442        16   1.406563002296E-004   7.842441000000E+000   7.823359000000E+000   8.920333862305E+000   2.721868326196E-001   7.500092125237E-003   2.721868326196E-001   5.290929000000E+000   5.356426000595E+000   1.406563002296E-004   5.860220000000E+000   5.944321155548E+000   1.000000000000E+000
  20700000    830691    666442        16   1.406563002295E-004   7.144269000000E+000   7.120792000000E+000   8.025067806244E+000   2.721868326196E-001   7.500092125226E-003   2.721868326196E-001   4.616092000000E+000   4.669193983078E+000   1.406563002295E-004   5.183846000000E+000   5.252712965012E+000   1.000000000000E+000
  30600000    830691    666442        16   1.406563002298E-004   6.038523000000E+000   6.005713000000E+000   6.689297914505E+000   2.721868326196E-001   7.500092125259E-003   2.721868326196E-001   3.511899000000E+000   3.579448938370E+000   1.406563002298E-004   4.077480000000E+000   4.160022020340E+000   1.000000000000E+000
  99999999    830691    666442        16   1.406563007606E-004   4.529801000000E+000   4.496627000000E+000   5.242280960083E+000   2.721868326196E-001   7.500092181861E-003   2.721868326196E-001   2.006259000000E+000   2.048324108124E+000   1.406563007606E-004   2.577974000000E+000   2.631998062134E+000   1.000000000000E+000
  20600000   6427891   5331536        16   1.413288123462E-004   8.159372100000E+001   8.156974800000E+001   8.372556805611E+001   2.729104184656E-001   7.571983123182E-003   2.729104184656E-001   5.396693700000E+001   5.437633705139E+001   1.413288123462E-004   5.822863700000E+001   5.866958904266E+001   2.000000000000E+000
  20600000   6427891   5331536        16   1.413288123462E-004   8.173649800000E+001   8.171393000000E+001   8.390143990517E+001   2.729104184656E-001   7.571983123182E-003   2.729104184656E-001   5.421370400000E+001   5.465390300751E+001   1.413288123462E-004   5.843921600000E+001   5.891672921181E+001   2.000000000000E+000
  20700000   6427891   5331536        16   1.413288123456E-004   7.561208600000E+001   7.558482100000E+001   7.714104199409E+001   2.729104184656E-001   7.571983123120E-003   2.729104184656E-001   4.807309200000E+001   4.845266294479E+001   1.413288123456E-004   5.233514100000E+001   5.273758387566E+001   2.000000000000E+000
  20700000   6427891   5331536        16   1.413288123456E-004   7.519796500000E+001   7.516905300000E+001   7.681435704231E+001   2.729104184656E-001   7.571983123120E-003   2.729104184656E-001   4.783591400000E+001   4.821489691734E+001   1.413288123456E-004   5.206587800000E+001   5.247759985924E+001   2.000000000000E+000
  30600000   6427891   5331536        16   1.413288123454E-004   6.365669100000E+001   6.362998600000E+001   6.515638208389E+001   2.729104184656E-001   7.571983123092E-003   2.729104184656E-001   3.620473500000E+001   3.652745199203E+001   1.413288123454E-004   4.040781200000E+001   4.076733613014E+001   2.000000000000E+000
  30600000   6427891   5331536        16   1.413288123454E-004   6.410053800000E+001   6.407568200000E+001   6.559910511971E+001   2.729104184656E-001   7.571983123092E-003   2.729104184656E-001   3.650379600000E+001   3.675456500053E+001   1.413288123454E-004   4.074700500000E+001   4.102388405800E+001   2.000000000000E+000
  99999999   6427891   5331536        16   1.413288123542E-004   4.396252600000E+001   4.393226700000E+001   4.527149605751E+001   2.729104184656E-001   7.571983124035E-003   2.729104184656E-001   1.638698600000E+001   1.655856990814E+001   1.413288123542E-004   2.061404000000E+001   2.081905102730E+001   2.000000000000E+000
  99999999   6427891   5331536        16   1.413288123542E-004   4.412120400000E+001   4.408677100000E+001   4.548835706711E+001   2.729104184656E-001   7.571983124035E-003   2.729104184656E-001   1.644275000000E+001   1.659531593323E+001   1.413288123542E-004   2.073826400000E+001   2.091449904442E+001   2.000000000000E+000
